,Specification Number,Specification description,Region,Type,Volume,Spend,Cluster name,Level 0,Level 1,Level 2,Level 3,Level 4,nc_Model 1,nc_Model 2,nc_Model 3,nc_Model 4,nt_Model 1,nt_Model 2,nt_Model 3,nct_Model 1,nct_Model 2,nct_Model 3,nct_Model 4
51,200000007746,SUGAR CANE BAG,Global,ward_euclidean,146400.0,162317.3400144674,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I,7,1,7,0,6,2,6,16,16,16,1
52,200000000398,Sugar - Medium,Global,ward_euclidean,7000.0,6397.529115730224,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I,22,37,22,31,15,14,15,44,17,44,44
53,200000000839,Sweetener- Invertsugar Syrup,Global,ward_euclidean,182750.0,142660.94318635535,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Liquid Invert,25,5,25,7,1,5,1,6,0,28,20
54,200000001110,Sweetener-Cane Molasses,Global,ward_euclidean,11975.0,31625.57386216333,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Others,25,5,25,7,1,17,1,6,42,28,0
55,200000001294,Colorant_Caramel_Liquid,Global,ward_euclidean,5700.0,27322.978934274415,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Others,25,5,25,7,1,0,1,6,0,28,40
56,200000001978,Invert sugar syrup DM73%,Global,ward_euclidean,617120.0,345172.8120476219,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Liquid Invert,4,5,4,7,1,5,1,9,36,4,38
57,200000002140,ICING SUGAR WITH POTATO STARCH BAG,Global,ward_euclidean,510159.3,323241.56117096596,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,"Milled, Powder, Icing",10,5,10,25,28,3,28,10,35,10,35
58,200000003491,Invert Sugar Syrup,Global,ward_euclidean,346625.0,668710.1313895053,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Liquid Invert,30,15,30,5,13,5,13,11,11,62,2
59,200000005488,Icing Sugar,Global,ward_euclidean,674900.0,409142.8991251034,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,"Milled, Powder, Icing",0,7,0,24,4,3,4,4,36,6,2
60,200000005952,PHASE OUT_Sugar- Dry-fine- for Tang full Sugar_harmonised to 200000005979,Global,ward_euclidean,11630800.0,6291142.094834482,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,"Milled, Powder, Icing",44,14,44,54,42,8,42,42,7,42,39
61,200000006612,"MOLASSES,TREACLE",Global,ward_euclidean,1379960.0,756656.706787443,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Others,9,15,9,5,13,17,13,1,42,12,88
62,200000006633,"SWT LIQ,INVERT SUGAR SYRUP",Global,ward_euclidean,447020.0,334958.15421702346,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Liquid Invert,0,15,0,12,12,5,12,4,36,6,37
63,200000006771,"MOLASSES,PURE CANE",Global,ward_euclidean,7840.0,18919.10722624506,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Others,9,15,9,5,13,17,13,1,42,12,17
64,200000006934,"SWT DRY,SUGAR,SILK ICING",Global,ward_euclidean,69300.0,141152.55716302694,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,"Milled, Powder, Icing",9,15,9,7,28,0,28,1,42,12,34
65,200000007045,"SWT,ICING SUGAR",Global,ward_euclidean,1212000.0,1091076.4933591848,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,"Milled, Powder, Icing",20,32,20,19,4,20,4,40,23,40,18
66,200000007913,ICING SUGAR WITH CORN STARCH BAG,Global,ward_euclidean,19775.0,16167.073426499988,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,"Milled, Powder, Icing",10,5,10,22,28,3,28,10,35,10,87
67,200000007915,SUGAR LIQUID MS 81,Global,ward_euclidean,291660.0,244595.42053345952,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Liquid,25,5,25,7,0,0,0,6,0,28,0
68,200000008086,Caramel Colour E150c 3350,Global,ward_euclidean,1440.0,3735.4270508563886,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Others,25,5,25,7,1,0,1,6,0,28,43
69,200000001109,"Sugar, Invert, Bulk",Global,ward_euclidean,2504040.0,1662306.3330831549,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Liquid Invert,21,0,21,12,12,5,12,11,11,31,3
70,200000001111,"CANE SUGAR, Refined, Liquid",Global,ward_euclidean,4217226.0,2086412.6032725207,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Liquid,13,0,13,7,0,0,0,5,0,25,0
71,200000001486,"Sugar, Icing, Soft Mix",Global,ward_euclidean,1658985.0,1462396.9594396336,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,"Milled, Powder, Icing",33,39,33,15,55,29,55,34,32,34,45
72,200000003403,Invert.Syrup.72.Bulk,Global,ward_euclidean,471900.0,401105.63336744835,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Liquid Invert,21,0,21,12,12,5,12,11,11,31,3
73,200000006677,"MOLASSES,PURE CANE",Global,ward_euclidean,21750.0,24810.158579317478,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Others,9,15,9,7,1,17,1,1,42,12,17
74,200000008115,RETIRED - SUGAR INVERT SYRUP - SEE NOTES,Global,ward_euclidean,12000.0,17480.34790513362,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Liquid,1,5,1,6,14,30,14,25,0,5,23
75,200000008116,CANE MOLASSES,Global,ward_euclidean,8400.0,31573.38706305095,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Others,1,5,1,6,14,32,14,25,42,5,31
76,200000011096,SUG-White Organic Sugar,Global,ward_euclidean,12500.0,22054.225565345692,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Others,16,5,16,55,22,1,22,32,1,32,19
77,200000000110,Sweetener-Sugar-Crystal-Extra Fine,Global,ward_euclidean,1176000.0,743277.9685828362,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,"Milled, Powder, Icing",52,21,52,20,27,7,27,20,8,20,67
78,200000000165,Sweetener-Invert Sugar,Global,ward_euclidean,3515320.0,1173181.9410509293,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Liquid Invert,13,0,13,12,12,5,12,5,36,25,3
79,200000000386,Sugar - Icing 6X,Global,ward_euclidean,1123520.227,818152.4549078845,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,"Milled, Powder, Icing",14,0,14,17,7,0,7,6,0,9,30
80,200000001186,Invert Sugar Liquid,Global,ward_euclidean,3013347.877156524,2372396.07245436,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Liquid Invert,4,7,4,7,1,5,1,9,36,4,0
81,200000001498,Sanding Mix - Fruit,Global,ward_euclidean,95062.5,121505.82035889608,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Others,17,0,17,2,44,11,44,13,22,13,26
82,200000001678,MOLASSES BLEND-50 FANCY-50 BLACKSTRAP,Global,ward_euclidean,28800.0,35695.52673905913,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Others,14,15,14,5,13,17,13,6,42,9,25
83,200000002013,Colored sugar confection (natural colors),Global,ward_euclidean,517000.0,843381.7647058823,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Colored Sugar,40,34,40,21,39,25,39,19,28,19,11
84,200000002719,Sanding Mix - EXTREME Sour,Global,ward_euclidean,13975.0,29298.07190310557,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Others,17,0,17,27,19,11,19,13,22,13,22
85,200000002967,Sugar White Milled,Global,ward_euclidean,6953700.0,4153233.9107020036,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,"Milled, Powder, Icing",2,1,2,26,50,3,50,3,6,0,32
86,200000003462,Milled Icing Sugar,Global,ward_euclidean,1764010.0,1474666.9537395036,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,"Milled, Powder, Icing",23,26,23,9,38,3,38,23,37,11,29
87,200000004213,Colour-Microfine Brown-Powder-Natural,Global,ward_euclidean,160.0,17037.60827027803,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Others,14,0,14,7,1,0,1,6,0,9,28
88,200000006503,SUCROSE-SUCROSE-67.5% TS,Global,ward_euclidean,7263992.25,4472793.1177711105,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Liquid,4,7,4,7,0,0,0,9,36,4,15
