Specification Number,Specification description,Region,Type,Volume,Spend,Model 1,Model 2,Model 3,Model 4,variable,value,Cluster name,Level 0,Level 1,Level 2,Level 3,Level 4,Level 5
200000007192,SWEETENER-POWDER-ASPARTAME,Global,ward_euclidean,807712.643,12182632.8338047,0,1,12,1,200000000024,1.0,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Aspartame,Aspartame
200000007192,SWEETENER-POWDER-ASPARTAME,Global,ward_euclidean,807712.643,12182632.8338047,0,1,12,1,200000000085,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Aspartame,Aspartame
200000007192,SWEETENER-POWDER-ASPARTAME,Global,ward_euclidean,807712.643,12182632.8338047,0,1,12,1,200000001902,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Aspartame,Aspartame
200000007192,SWEETENER-POWDER-ASPARTAME,Global,ward_euclidean,807712.643,12182632.8338047,0,1,12,1,200000001923,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Aspartame,Aspartame
200000007192,SWEETENER-POWDER-ASPARTAME,Global,ward_euclidean,807712.643,12182632.8338047,0,1,12,1,200000005477,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Aspartame,Aspartame
200000007192,SWEETENER-POWDER-ASPARTAME,Global,ward_euclidean,807712.643,12182632.8338047,0,1,12,1,200000005677,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Aspartame,Aspartame
200000007192,SWEETENER-POWDER-ASPARTAME,Global,ward_euclidean,807712.643,12182632.8338047,0,1,12,1,200000007338,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Aspartame,Aspartame
200000007192,SWEETENER-POWDER-ASPARTAME,Global,ward_euclidean,807712.643,12182632.8338047,0,1,12,1,200000009719,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Aspartame,Aspartame
200000007192,SWEETENER-POWDER-ASPARTAME,Global,ward_euclidean,807712.643,12182632.8338047,0,1,12,1,200000000501,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Aspartame,Aspartame
200000007192,SWEETENER-POWDER-ASPARTAME,Global,ward_euclidean,807712.643,12182632.8338047,0,1,12,1,200000003153,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Aspartame,Aspartame
200000007192,SWEETENER-POWDER-ASPARTAME,Global,ward_euclidean,807712.643,12182632.8338047,0,1,12,1,200000003417,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Aspartame,Aspartame
200000007192,SWEETENER-POWDER-ASPARTAME,Global,ward_euclidean,807712.643,12182632.8338047,0,1,12,1,200000005865,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Aspartame,Aspartame
200000007192,SWEETENER-POWDER-ASPARTAME,Global,ward_euclidean,807712.643,12182632.8338047,0,1,12,1,200000005869,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Aspartame,Aspartame
200000007192,SWEETENER-POWDER-ASPARTAME,Global,ward_euclidean,807712.643,12182632.8338047,0,1,12,1,200000007208,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Aspartame,Aspartame
200000007192,SWEETENER-POWDER-ASPARTAME,Global,ward_euclidean,807712.643,12182632.8338047,0,1,12,1,200000008653,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Aspartame,Aspartame
200000007192,SWEETENER-POWDER-ASPARTAME,Global,ward_euclidean,807712.643,12182632.8338047,0,1,12,1,200000002455,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Aspartame,Aspartame
200000007192,SWEETENER-POWDER-ASPARTAME,Global,ward_euclidean,807712.643,12182632.8338047,0,1,12,1,200000002785,1.0,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Aspartame,Aspartame
200000007192,SWEETENER-POWDER-ASPARTAME,Global,ward_euclidean,807712.643,12182632.8338047,0,1,12,1,200000005954,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Aspartame,Aspartame
