Specification Number,Specification description,Region,Type,Volume,Spend,Model 1,Model 2,Model 3,Model 4,variable,value,Cluster name,Level 0,Level 1,Level 2,Level 3
200000000574,ACID-GRANULAR-CITRIC ACID,Global,ward_euclidean,49750.0,91850.57433387084,7,4,7,14,200000001610,,,ACID,GRANULAR,CITRIC ACID,CITRIC ACID
200000000574,ACID-GRANULAR-CITRIC ACID,Global,ward_euclidean,49750.0,91850.57433387084,7,4,7,14,200000001925,,,ACID,GRANULAR,CITRIC ACID,CITRIC ACID
200000000574,ACID-GRANULAR-CITRIC ACID,Global,ward_euclidean,49750.0,91850.57433387084,7,4,7,14,200000002804,,,ACID,GRANULAR,CITRIC ACID,CITRIC ACID
200000000574,ACID-GRANULAR-CITRIC ACID,Global,ward_euclidean,49750.0,91850.57433387084,7,4,7,14,200000005507,0.9159370443858061,,ACID,GRANULAR,CITRIC ACID,CITRIC ACID
200000000574,ACID-GRANULAR-CITRIC ACID,Global,ward_euclidean,49750.0,91850.57433387084,7,4,7,14,200000006808,,,ACID,GRANULAR,CITRIC ACID,CITRIC ACID
200000000574,ACID-GRANULAR-CITRIC ACID,Global,ward_euclidean,49750.0,91850.57433387084,7,4,7,14,200000000454,,,ACID,GRANULAR,CITRIC ACID,CITRIC ACID
200000000574,ACID-GRANULAR-CITRIC ACID,Global,ward_euclidean,49750.0,91850.57433387084,7,4,7,14,200000001782,,,ACID,GRANULAR,CITRIC ACID,CITRIC ACID
200000000574,ACID-GRANULAR-CITRIC ACID,Global,ward_euclidean,49750.0,91850.57433387084,7,4,7,14,200000001786,,,ACID,GRANULAR,CITRIC ACID,CITRIC ACID
200000000574,ACID-GRANULAR-CITRIC ACID,Global,ward_euclidean,49750.0,91850.57433387084,7,4,7,14,200000001904,,,ACID,GRANULAR,CITRIC ACID,CITRIC ACID
200000000574,ACID-GRANULAR-CITRIC ACID,Global,ward_euclidean,49750.0,91850.57433387084,7,4,7,14,200000003126,,,ACID,GRANULAR,CITRIC ACID,CITRIC ACID
