Specification Number,Color vs speckle,art vs non-art,pigment,hue,form,form2,water vs oil soluble,"H2 2021 - H1 2022 volume - NA, KG","H2 2021 - H1 2022 volume - MEU, KG","H2 2021 - H1 2022 volume - LA, KG","H2 2021 - H1 2022 volume - AMEA, KG","H2 2021 - H1 2022 spend - NA, USD","H2 2021 - H1 2022 spend - MEU, USD","H2 2021 - H1 2022 spend - LA, USD","H2 2021 - H1 2022 spend - AMEA, USD","H2 2021 - H1 2022 average price - NA, USD/ton","H2 2021 - H1 2022 average price - MEU, USD/ton","H2 2021 - H1 2022 average price - LA, USD/ton","H2 2021 - H1 2022 average price - AMEA, USD/ton",Buy Menu Card - NA - Menu Card Color,Buy Menu Card - MEU - Menu Card Color,Buy Menu Card - LA - Menu Card Color,Buy Menu Card - AMEA - Menu Card Color,Specification description,Classification
200000001309,Colors,Non Artificial,chlorophyll & chlorophyllins,green,powder,,,0,0,50,13,0,0,4525,6728.215465,,,90500,517555.0358,GREEN - Use/Re-use (also check Regulatory Compliance section),GREEN - Use/Re-use (also check Regulatory Compliance section),RED - Do not re-use,GREEN - Use/Re-use (also check Regulatory Compliance section),Color-Powder-Chlorophyll-Natural,Ingredient-Other Ingredients-Colors-Non Artificial
200000001640,Colors,Artificial,orange blends,orange,,,,0,0,0,100,0,0,0,9509.635702,,,,95096.35702,RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,GREEN - Use/Re-use (also check Regulatory Compliance section),"Color, Mandarin Orange Dispersion",Ingredient-Other Ingredients-Colors-Artificial
200000001677,Colors,Artificial,chlorophyll & chlorophyllins,yellow,liquid,,water soluble,772,0,0,0,14922.10345,0,0,0,19329.14954,,,,YELLOW - Exceptional re-use (see Comments),RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,COLOUR-LIQUID-YELLOW-FD&C #6,Ingredient-Other Ingredients-Colors-Artificial
200000001779,Speckles,Speckles or Glitters,brilliant blue,blue,,,,0,0,0,784.08,0,0,0,35283.6,,,,45000,,RED - Do not re-use,,YELLOW - Exceptional re-use (see Comments),"Color, Blue Edible Glitter-PROPOSED HARMONIZE TO 25001199",Ingredient-Other Ingredients-Colors-Speckles or Glitters
200000001911,Colors,Non Artificial,green blends,yellow,liquid,,,0,0,0,60,0,0,0,11544.98697,,,,192416.4495,RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,YELLOW - Exceptional re-use (see Comments),"Colour, Liquid, Yellowish green, Natural",Ingredient-Other Ingredients-Colors-Non Artificial
200000001922,Colors,"Clouding agent, Titanium Dioxide",titanium dioxide,,powder,,,0,0,0,2250,0,0,0,15729.2349,,,,6990.771069,RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,GREEN - Use/Re-use (also check Regulatory Compliance section),Titanium Dioxide,"Ingredient-Other Ingredients-Colors-Clouding agent, Titanium Dioxide"
200000001988,Colors,"Clouding agent, Titanium Dioxide",titanium dioxide,,powder,,,0,0,5700,0,0,0,50745,0,,,8902.631579,,RED - Do not re-use,RED - Do not re-use,YELLOW - Exceptional re-use (see Comments),RED - Do not re-use,"Color-Powder-Titanium Dioxide PROHIBITED IN FOODS IN EU, DO NOT USE IN NEW DEV – see notes","Ingredient-Other Ingredients-Colors-Clouding agent, Titanium Dioxide"
200000002248,Colors,Artificial,carbon black,black,,,,0,0,0,15180,0,0,0,210519.8355,,,,13868.23686,RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,YELLOW - Exceptional re-use (see Comments),SOLID BLACK,Ingredient-Other Ingredients-Colors-Artificial
200000002336,Colors,Artificial,caramel,brown,,,,0,0,0,270,0,0,0,597.3333504,,,,2212.345742,RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,YELLOW - Exceptional re-use (see Comments),Colour - Caramel Double Strength,Ingredient-Other Ingredients-Colors-Artificial
200000002391,Colors,Non Artificial,beetroot / red beet,red,liquid,,,0,0,0,510,0,0,0,9062.091474,,,,17768.80681,RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,YELLOW - Exceptional re-use (see Comments),RETIRED - BETA CAROTENE 0.3% L-OS-SENSIENT-503001,Ingredient-Other Ingredients-Colors-Non Artificial
200000002406,Colors,Non Artificial, SUNFLOWER OIL ,,liquid,,,0,0,0,0,0,0,0,0,,,,,RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,YELLOW - Exceptional re-use (see Comments),"COLOUR, LIQUID PINK, OIL SOLUBLE, NATURAL",Ingredient-Other Ingredients-Colors-Non Artificial
