feature_name,Model 1,feature_imp_scaled_vals,Region,Model,Model 2
Storage - Bag/Pouch/Sachet - Min Remaining SL Upon Receipt,2.0,0.21413277507714654,MEU,Model 1,
monograph,2.0,0.2100694073392686,MEU,Model 1,
comparativesolution,2.0,0.20690415993234906,MEU,Model 1,
additive,2.0,0.20549552340347468,MEU,Model 1,
karl,2.0,0.18359737111183613,MEU,Model 1,
others,2.0,0.16999108579364253,MEU,Model 1,
citricacid,2.0,0.16486683194499155,MEU,Model 1,
opalescencesolution,2.0,0.15171230533590369,MEU,Model 1,
monohydrate,2.0,0.1506114755651183,MEU,Model 1,
"Quantitative - Ash, sulphated - Max",2.0,0.14506421976385667,MEU,Model 1,
hplc,2.0,0.14257335398010781,MEU,Model 1,
granular,2.0,0.13580414546563008,MEU,Model 1,
acid,2.0,0.12770960201139966,MEU,Model 1,
fcc,2.0,0.11545389628022751,MEU,Model 1,
fischer,2.0,0.10295354869556254,MEU,Model 1,
ph,2.0,0.09882031905139858,MEU,Model 1,
citricacidmonohydrate,2.0,0.09557064241357091,MEU,Model 1,
min,2.0,0.08722149029549615,MEU,Model 1,
powder,2.0,0.08695081577667135,MEU,Model 1,
anhydrous,2.0,0.08583180855821511,MEU,Model 1,
cformin,2.0,0.05868335011243481,MEU,Model 1,
gran,2.0,0.05602701432386938,MEU,Model 1,
Quantitative - Sulphates - Max,2.0,0.05047206610886591,MEU,Model 1,
proposedharmonizeto,2.0,0.04960028265779048,MEU,Model 1,
proposed,2.0,0.04380913093853559,MEU,Model 1,
encapsulated,2.0,0.04241668216368477,MEU,Model 1,
fine,2.0,0.0331911707932202,MEU,Model 1,
thiswillbeharmonizedto,2.0,0.031199025635876326,MEU,Model 1,
citricacidnon,2.0,0.02981593685239728,MEU,Model 1,
citricacidmonohydratedfinegranular,2.0,0.027232094548125408,MEU,Model 1,
donot,2.0,0.022205370151208936,MEU,Model 1,
comparison,2.0,0.021737939477393,MEU,Model 1,
harmonized,2.0,0.020576182550327258,MEU,Model 1,
jecfa,2.0,0.019630682108518076,MEU,Model 1,
non,2.0,0.019362115835163708,MEU,Model 1,
aocs,2.0,0.01665159947997638,MEU,Model 1,
harmonize,2.0,0.016383644158117897,MEU,Model 1,
ngm,2.0,0.015840628608780778,MEU,Model 1,
mediumgran,2.0,0.014428076760044855,MEU,Model 1,
crystals,2.0,0.013458334226492891,MEU,Model 1,
medium,2.0,0.009716582556914443,MEU,Model 1,
encaps,2.0,0.006448043220535248,MEU,Model 1,
jab,2.0,0.0,MEU,Model 1,
color,2.0,0.0,MEU,Model 1,
gmo,2.0,0.0,MEU,Model 1,
use,2.0,0.0,MEU,Model 1,
soln,2.0,0.0,MEU,Model 1,
water,3.0,1.0,MEU,Model 1,
monograph,3.0,0.8562472072296545,MEU,Model 1,
min,3.0,0.8313429733327874,MEU,Model 1,
Quantitative - Assay (anhydrous basis) - Max,3.0,0.7593217314531236,MEU,Model 1,
Total Solids %,3.0,0.6535600690254747,MEU,Model 1,
Storage - Bag/Pouch/Sachet - Total Shelf Life,3.0,0.6091260912705847,MEU,Model 1,
others,3.0,0.5965783013008423,MEU,Model 1,
citric,3.0,0.5491008333901276,MEU,Model 1,
Quantitative - Moisture - Max,3.0,0.5117902522062211,MEU,Model 1,
acid,3.0,0.5055703203969479,MEU,Model 1,
eur,3.0,0.46228738485447146,MEU,Model 1,
ph,3.0,0.40588892100929724,MEU,Model 1,
colour,3.0,0.3143451311254907,MEU,Model 1,
harmonized,3.0,0.3002007796490855,MEU,Model 1,
comparison,3.0,0.28070237321593167,MEU,Model 1,
fischer,3.0,0.2784004083762058,MEU,Model 1,
"Standard Composition - CITRIC ACID - Value, %",3.0,0.2581784772466435,MEU,Model 1,
use,3.0,0.1988990828874545,MEU,Model 1,
Storage - Bag/Pouch/Sachet - Min Remaining SL Upon Receipt,3.0,0.17411982317057542,MEU,Model 1,
fcc,3.0,0.16989298672308129,MEU,Model 1,
anhydrous,3.0,0.16845001148392633,MEU,Model 1,
"Quantitative - Ash, sulphated - Max",3.0,0.1579148508652527,MEU,Model 1,
karl,3.0,0.15509052632165754,MEU,Model 1,
monohydrated,3.0,0.15198463861466185,MEU,Model 1,
comparision,3.0,0.1477803964490812,MEU,Model 1,
powder,3.0,0.1474785693484211,MEU,Model 1,
donot,3.0,0.14279969720477342,MEU,Model 1,
citricacidmonohydrate,3.0,0.14056144136571186,MEU,Model 1,
thiswillbeharmonizedto,3.0,0.13227662674479015,MEU,Model 1,
Quantitative - Sulphates - Max,3.0,0.11150162445781195,MEU,Model 1,
cformin,3.0,0.10224720727867342,MEU,Model 1,
proposedharmonizeto,3.0,0.100757104675638,MEU,Model 1,
opalescencesolution,3.0,0.09828754482513345,MEU,Model 1,
citricacid,3.0,0.09235532402058182,MEU,Model 1,
additive,3.0,0.08826065703109645,MEU,Model 1,
harmonize,3.0,0.07003284089445834,MEU,Model 1,
comparativesolution,3.0,0.05854789181676747,MEU,Model 1,
color,3.0,0.052414269807346425,MEU,Model 1,
medium,3.0,0.051933612277427633,MEU,Model 1,
jecfa,3.0,0.03514155034319574,MEU,Model 1,
monohydrate,3.0,0.03441293558708162,MEU,Model 1,
proposed,3.0,0.03133499678710106,MEU,Model 1,
mediumgran,3.0,0.026577619975171083,MEU,Model 1,
encapsulated,3.0,0.025866529170452884,MEU,Model 1,
gmo,3.0,0.022644274429194058,MEU,Model 1,
hplc,3.0,0.01720017535667265,MEU,Model 1,
ngm,3.0,0.017183741385915895,MEU,Model 1,
granular,3.0,0.01706044069070505,MEU,Model 1,
jab,3.0,0.016587392518365586,MEU,Model 1,
citricacidnon,3.0,0.01566123029879791,MEU,Model 1,
soln,3.0,0.009766227619241062,MEU,Model 1,
fine,3.0,0.008994727561492858,MEU,Model 1,
gran,3.0,0.0073173464878429455,MEU,Model 1,
crystals,3.0,0.006408144071638543,MEU,Model 1,
citricacidmonohydratedfinegranular,3.0,0.0,MEU,Model 1,
non,3.0,0.0,MEU,Model 1,
aocs,3.0,0.0,MEU,Model 1,
encaps,3.0,0.0,MEU,Model 1,
powder,4.0,1.0,MEU,Model 1,
acid,4.0,0.8876185397035156,MEU,Model 1,
eur,4.0,0.8361130034052832,MEU,Model 1,
"Quantitative - Ash, sulphated - Max",4.0,0.827534646244676,MEU,Model 1,
Quantitative - Assay (anhydrous basis) - Max,4.0,0.7341052287788615,MEU,Model 1,
"Standard Composition - CITRIC ACID - Value, %",4.0,0.701323470875907,MEU,Model 1,
Storage - Bag/Pouch/Sachet - Total Shelf Life,4.0,0.6930239230151081,MEU,Model 1,
aocs,4.0,0.6230917344277536,MEU,Model 1,
