Specification Number,Specification description,Region,Type,Volume,Spend,Model 1,Model 2,Model 3,variable,value,Cluster name,Level 0,Level 1,Level 2,Level 3
200000006808,"ACID- CITRIC ACID 49,75%",MEU,ward_euclidean,300.0,3977.7501700000003,7,0,7,200000007977,,,ACID," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"
200000006808,"ACID- CITRIC ACID 49,75%",MEU,ward_euclidean,300.0,3977.7501700000003,7,0,7,200000008049,,,ACID," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"
200000006808,"ACID- CITRIC ACID 49,75%",MEU,ward_euclidean,300.0,3977.7501700000003,7,0,7,200000001439,,,ACID," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"
200000006808,"ACID- CITRIC ACID 49,75%",MEU,ward_euclidean,300.0,3977.7501700000003,7,0,7,200000000289,,,ACID," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"
200000006808,"ACID- CITRIC ACID 49,75%",MEU,ward_euclidean,300.0,3977.7501700000003,7,0,7,200000000616,0.7772332614390229,,ACID," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"
200000006808,"ACID- CITRIC ACID 49,75%",MEU,ward_euclidean,300.0,3977.7501700000003,7,0,7,200000000638,,,ACID," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"
200000006808,"ACID- CITRIC ACID 49,75%",MEU,ward_euclidean,300.0,3977.7501700000003,7,0,7,200000000723,,,ACID," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"
200000006808,"ACID- CITRIC ACID 49,75%",MEU,ward_euclidean,300.0,3977.7501700000003,7,0,7,200000005407,0.7961332975711797,,ACID," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"
200000006808,"ACID- CITRIC ACID 49,75%",MEU,ward_euclidean,300.0,3977.7501700000003,7,0,7,200000006653,,,ACID," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"
200000006808,"ACID- CITRIC ACID 49,75%",MEU,ward_euclidean,300.0,3977.7501700000003,7,0,7,200000006712,,,ACID," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"
