Specification Number,Specification description,Region,Type,Volume,Spend,Model 1,Model 2,Model 3,Model 4,variable,value,Cluster name,Level 0,Level 1,Level 2,Level 3
200000000574,ACID-GRANULAR-CITRIC ACID,AMEA,ward_euclidean,49750.0,91850.57433387084,2,0,2,2,200000001175,,,ACID,GRANULAR,CITRIC ACID,CITRIC ACID
200000000574,ACID-GRANULAR-CITRIC ACID,AMEA,ward_euclidean,49750.0,91850.57433387084,2,0,2,2,200000001608,,,ACID,GRANULAR,CITRIC ACID,CITRIC ACID
200000000574,ACID-GRANULAR-CITRIC ACID,AMEA,ward_euclidean,49750.0,91850.57433387084,2,0,2,2,200000001610,,,ACID,GRANULAR,CITRIC ACID,CITRIC ACID
200000000574,ACID-GRANULAR-CITRIC ACID,AMEA,ward_euclidean,49750.0,91850.57433387084,2,0,2,2,200000001925,,,ACID,GRANULAR,CITRIC ACID,CITRIC ACID
200000000574,ACID-GRANULAR-CITRIC ACID,AMEA,ward_euclidean,49750.0,91850.57433387084,2,0,2,2,200000002804,,,ACID,GRANULAR,CITRIC ACID,CITRIC ACID
200000000574,ACID-GRANULAR-CITRIC ACID,AMEA,ward_euclidean,49750.0,91850.57433387084,2,0,2,2,200000005507,0.8583908180552338,,ACID,GRANULAR,CITRIC ACID,CITRIC ACID
200000000574,ACID-GRANULAR-CITRIC ACID,AMEA,ward_euclidean,49750.0,91850.57433387084,2,0,2,2,200000001782,,,ACID,GRANULAR,CITRIC ACID,CITRIC ACID
200000000574,ACID-GRANULAR-CITRIC ACID,AMEA,ward_euclidean,49750.0,91850.57433387084,2,0,2,2,200000001904,,,ACID,GRANULAR,CITRIC ACID,CITRIC ACID
200000000574,ACID-GRANULAR-CITRIC ACID,AMEA,ward_euclidean,49750.0,91850.57433387084,2,0,2,2,200000007131,0.8499926215903535,,ACID,GRANULAR,CITRIC ACID,CITRIC ACID
200000000574,ACID-GRANULAR-CITRIC ACID,AMEA,ward_euclidean,49750.0,91850.57433387084,2,0,2,2,200000000616,,,ACID,GRANULAR,CITRIC ACID,CITRIC ACID
200000000574,ACID-GRANULAR-CITRIC ACID,AMEA,ward_euclidean,49750.0,91850.57433387084,2,0,2,2,200000000620,,,ACID,GRANULAR,CITRIC ACID,CITRIC ACID
200000000574,ACID-GRANULAR-CITRIC ACID,AMEA,ward_euclidean,49750.0,91850.57433387084,2,0,2,2,200000007013,,,ACID,GRANULAR,CITRIC ACID,CITRIC ACID
200000001175,"Citric Acid, Anhydrous Fine Granular",AMEA,ward_euclidean,190320.0,329601.1063393518,4,4,4,6,200000001175,0.9999999999999999,,"Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular"
200000001175,"Citric Acid, Anhydrous Fine Granular",AMEA,ward_euclidean,190320.0,329601.1063393518,4,4,4,6,200000007252,,,"Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular"
200000001175,"Citric Acid, Anhydrous Fine Granular",AMEA,ward_euclidean,190320.0,329601.1063393518,4,4,4,6,200000000088,,,"Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular"
200000001175,"Citric Acid, Anhydrous Fine Granular",AMEA,ward_euclidean,190320.0,329601.1063393518,4,4,4,6,200000000574,,,"Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular"
200000001175,"Citric Acid, Anhydrous Fine Granular",AMEA,ward_euclidean,190320.0,329601.1063393518,4,4,4,6,200000001608,,,"Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular"
200000001175,"Citric Acid, Anhydrous Fine Granular",AMEA,ward_euclidean,190320.0,329601.1063393518,4,4,4,6,200000001610,,,"Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular"
200000001175,"Citric Acid, Anhydrous Fine Granular",AMEA,ward_euclidean,190320.0,329601.1063393518,4,4,4,6,200000001925,,,"Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular"
200000001175,"Citric Acid, Anhydrous Fine Granular",AMEA,ward_euclidean,190320.0,329601.1063393518,4,4,4,6,200000002804,,,"Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular"
200000001175,"Citric Acid, Anhydrous Fine Granular",AMEA,ward_euclidean,190320.0,329601.1063393518,4,4,4,6,200000005507,,,"Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular"
200000001175,"Citric Acid, Anhydrous Fine Granular",AMEA,ward_euclidean,190320.0,329601.1063393518,4,4,4,6,200000001782,,,"Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular"
200000001175,"Citric Acid, Anhydrous Fine Granular",AMEA,ward_euclidean,190320.0,329601.1063393518,4,4,4,6,200000001904,,,"Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular"
200000001175,"Citric Acid, Anhydrous Fine Granular",AMEA,ward_euclidean,190320.0,329601.1063393518,4,4,4,6,200000007131,,,"Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular"
200000001175,"Citric Acid, Anhydrous Fine Granular",AMEA,ward_euclidean,190320.0,329601.1063393518,4,4,4,6,200000000616,,,"Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular"
200000001175,"Citric Acid, Anhydrous Fine Granular",AMEA,ward_euclidean,190320.0,329601.1063393518,4,4,4,6,200000000620,,,"Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular"
200000001175,"Citric Acid, Anhydrous Fine Granular",AMEA,ward_euclidean,190320.0,329601.1063393518,4,4,4,6,200000007013,,,"Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular"
200000001608,"Acid, Citric Acid, Anhydrous",AMEA,ward_euclidean,816.4800000000001,3574.4825969644276,3,2,3,5,200000001608,0.9999999999999998,,"Acid, Citric Acid, Anhydrous","Acid, Citric Acid, Anhydrous","Acid, Citric Acid, Anhydrous","Acid, Citric Acid, Anhydrous"
